-0,3975	-0,4073	-0,4339	-0,6604	-0,9423	-0,9545	-0,86	-0,8909
-0,4077	-0,4422	-0,451	-0,7592	-0,9512	-0,8947	-0,7958	-0,8346
-0,3766	-0,4021	-0,4244	-0,7896	-0,9238	-0,8367	-0,7412	-0,7718
-0,3846	-0,407	-0,4508	-0,7868	-0,8645	-0,7785	-0,6782	-0,717
-0,3702	-0,4537	-0,5918	-0,7642	-0,8063	-0,7117	-0,6128	-0,6111
-0,3567	-0,4146	-0,6066	-0,7053	-0,7473	-0,6556	-0,5566	-0,5586
-0,3395	-0,462	-0,6323	-0,642	-0,6805	-0,5912	-0,4988	-0,5063
-0,3493	-0,5633	-0,635	-0,5739	-0,623	-0,5206	-0,4429	-0,4531
-0,4848	-0,5579	-0,613	-0,5086	-0,5569	-0,4618	-0,3886	-0,4005
-0,5143	-0,5509	-0,5809	-0,4419	-0,4908	-0,3953	-0,3355	-0,3478
-0,5043	-0,5269	-0,5442	-0,3698	-0,4248	-0,3404	-0,2825	-0,2945
-0,4843	-0,4943	-0,4697	-0,3041	-0,3539	-0,2833	-0,2294	-0,2414
-0,4534	-0,4556	-0,3928	-0,23	-0,296	-0,2277	-0,1766	-0,1878
-0,4175	-0,4162	-0,317	-0,1623	-0,2337	-0,1732	-0,1241	-0,1342
-0,3783	-0,3768	-0,2387	-0,0926	-0,1753	-0,1193	-0,0715	-0,0805
-0,3365	-0,3386	-0,1656	-0,0327	-0,0665	-0,0662	-0,0192	-0,0267
-0,2953	-0,3016	-0,0957	0,0258	-0,014	-0,0137	0,0328	0,0268
-0,2571	-0,229	-0,0293	0,0814	0,039	0,0383	0,0849	0,0803
-0,1546	-0,1535	0,0346	0,1291	0,091	0,1411	0,1369	0,134
-0,1256	-0,0028	0,1909	0,175	0,1896	0,1911	0,189	0,1878
-0,0956	0,0871	0,3444	0,2334	0,2348	0,2385	0,2408	0,2413
-0,0654	0,1672	0,3989	0,3208	0,2788	0,2846	0,2913	0,2952
-0,035	0,2597	0,4508	0,4073	0,3354	0,3289	0,3408	0,3489
-0,0048	0,336	0,5001	0,4952	0,4164	0,3824	0,3896	0,4022
