0,02673	0,0211	0,01111	0,00728	0,00552	0,00518	0,00518	0,00519
0,02823	0,02115	0,01097	0,0075	0,0058	0,00516	0,00502	0,0051
0,03389	0,02069	0,01098	0,00765	0,00612	0,00545	0,00489	0,00497
0,03656	0,02054	0,01114	0,00784	0,00643	0,00576	0,00478	0,00494
0,03907	0,01993	0,0114	0,0081	0,00671	0,00606	0,00502	0,00494
0,0415	0,01994	0,01172	0,0084	0,00695	0,00638	0,00533	0,00503
0,04386	0,01999	0,0121	0,00872	0,00723	0,00665	0,00571	0,00507
0,04621	0,02006	0,0125	0,00908	0,00755	0,00695	0,00618	0,00547
0,04863	0,02015	0,01293	0,00949	0,0079	0,00737	0,0068	0,00608
0,05064	0,02038	0,01337	0,00991	0,00837	0,00791	0,00745	0,00726
0,05293	0,0205	0,01385	0,0104	0,00903	0,00865	0,00816	0,00777
0,05402	0,02072	0,01437	0,01104	0,0099	0,00953	0,00883	0,00822
0,04884	0,02104	0,01499	0,012	0,01094	0,01043	0,00945	0,00862
0,03858	0,02149	0,01589	0,01328	0,01198	0,0113	0,01002	0,00904
0,03726	0,02241	0,01753	0,01476	0,01294	0,01208	0,0106	0,00948
0,03965	0,02481	0,01983	0,01619	0,01384	0,01281	0,01116	0,00996
0,04389	0,028	0,02217	0,01751	0,01478	0,0136	0,01176	0,01046
0,04932	0,03149	0,02428	0,0189	0,01575	0,01441	0,01239	0,01097
0,05578	0,03502	0,02665	0,0204	0,01673	0,01527	0,0131	0,01151
0,06347	0,03925	0,02932	0,02226	0,01795	0,01627	0,01378	0,01205
0,07122	0,04454	0,03242	0,02421	0,01916	0,0172	0,01458	0,0127
0,15314	0,05054	0,03532	0,02671	0,02084	0,01863	0,0153	0,01338
0,16079	0,05598	0,03943	0,0291	0,02246	0,01985	0,01622	0,01398
0,16853	0,06218	0,04356	0,03218	0,02447	0,02133	0,01746	0,01467
0,17514	0,06952	0,04807	0,03528	0,02774	0,02338	0,01853	0,0155
0,18227	0,07885	0,05295	0,03862	0,03038	0,02602	0,01982	0,01653
0,18895	0,09094	0,06046	0,04233	0,03363	0,02857	0,02131	0,01778
0,19641	0,16233	0,06793	0,04646	0,03728	0,03163	0,02328	0,01895
0,20314	0,16492	0,07763	0,05199	0,04186	0,03529	0,02625	0,02037
0,21192	0,17138	0,08961	0,05816	0,04788	0,0399	0,02922	0,02189
0,22108	0,1783	0,1367	0,06562	0,05432	0,0459	0,03193	0,0239
0,2247	0,18273	0,19216	0,07479	0,06084	0,05413	0,03566	0,02619
0,22891	0,19246	0,19879	0,08608	0,06808	0,06055	0,04019	0,02898
0,2365	0,19463	0,20659	0,10041	0,07621	0,06822	0,04543	0,03253
0,24771	0,20507	0,21492	0,11911	0,08552	0,07694	0,05158	0,0369
0,24822	0,20709	0,22072	0,15161	0,09543	0,08665	0,05902	0,0425
0,25574	0,21806	0,23007	0,22724	0,10643	0,09723	0,06764	0,04769
0,2626	0,21981	0,23616	0,23712	0,11812	0,10845	0,07773	0,05372
0,26655	0,22703	0,24221	0,24292	0,13116	0,12031	0,08974	0,06089
0,28058	0,23364	0,25159	0,24987	0,14397	0,13238	0,10293	0,06972
0,27856	0,23949	0,25637	0,25999	0,16208	0,1454	0,11703	0,07887
0,28789	0,25173	0,2624	0,26668	NaN	0,15869	0,13162	0,08989
0,29061	0,25346	0,27062	0,27278	NaN	0,17399	0,14578	0,10137
0,29746	0,26014	0,27581	0,28312	NaN	0,19229	0,16103	0,1155
0,30485	0,27201	0,28186	0,29065	NaN	0,27614	0,17708	0,12909
0,3072	0,27464	0,28758	0,29719	NaN	0,28307	0,1904	0,14496
0,32169	0,28158	0,29606	NaN	NaN	0,28984	0,20291	0,16209
NaN	0,29003	0,30059	NaN	NaN	0,29666	0,21578	0,18107
